"Notes"	"State"	"State Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"Age Group"	"Age Group Code"	Population
	"Colorado"	"08"	"2002"	"2002"	"60-64 years "	"60-64"	159381
	"Colorado"	"08"	"2002"	"2002"	"65-69 years"	"65-69"	124664
	"Colorado"	"08"	"2002"	"2002"	"70-74 years"	"70-74"	107287
	"Colorado"	"08"	"2002"	"2002"	"75-79 years"	"75-79"	87670
	"Colorado"	"08"	"2002"	"2002"	"80-84 years"	"80-84"	61754
	"Colorado"	"08"	"2002"	"2002"	"85+ years"	"85+"	50422
"Total"	"Colorado"	"08"	"2002"	"2002"			4490406
	"Colorado"	"08"	"2003"	"2003"	"< 1 year"	"1"	66624
	"Colorado"	"08"	"2003"	"2003"	"1-4 years"	"1-4"	255718
	"Colorado"	"08"	"2003"	"2003"	"5-9 years"	"5-9"	302711
	"Colorado"	"08"	"2003"	"2003"	"10-14 years"	"10-14"	325590
	"Colorado"	"08"	"2003"	"2003"	"15-19 years"	"15-19"	325785
	"Colorado"	"08"	"2003"	"2003"	"20-24 years"	"20-24"	334835
	"Colorado"	"08"	"2003"	"2003"	"25-29 years"	"25-29"	322088
	"Colorado"	"08"	"2003"	"2003"	"30-34 years"	"30-34"	350748
	"Colorado"	"08"	"2003"	"2003"	"35-39 years"	"35-39"	338697
	"Colorado"	"08"	"2003"	"2003"	"40-44 years"	"40-44"	376122
	"Colorado"	"08"	"2003"	"2003"	"45-49 years"	"45-49"	360576
	"Colorado"	"08"	"2003"	"2003"	"50-54 years"	"50-54"	315348
	"Colorado"	"08"	"2003"	"2003"	"55-59 years"	"55-59"	243088
	"Colorado"	"08"	"2003"	"2003"	"60-64 years "	"60-64"	170587
	"Colorado"	"08"	"2003"	"2003"	"65-69 years"	"65-69"	128115
	"Colorado"	"08"	"2003"	"2003"	"70-74 years"	"70-74"	107937
	"Colorado"	"08"	"2003"	"2003"	"75-79 years"	"75-79"	88470
	"Colorado"	"08"	"2003"	"2003"	"80-84 years"	"80-84"	63630
	"Colorado"	"08"	"2003"	"2003"	"85+ years"	"85+"	52063
"Total"	"Colorado"	"08"	"2003"	"2003"			4528732
	"Colorado"	"08"	"2004"	"2004"	"< 1 year"	"1"	66137
	"Colorado"	"08"	"2004"	"2004"	"1-4 years"	"1-4"	259849
	"Colorado"	"08"	"2004"	"2004"	"5-9 years"	"5-9"	301885
	"Colorado"	"08"	"2004"	"2004"	"10-14 years"	"10-14"	324457
	"Colorado"	"08"	"2004"	"2004"	"15-19 years"	"15-19"	326646
	"Colorado"	"08"	"2004"	"2004"	"20-24 years"	"20-24"	338785
	"Colorado"	"08"	"2004"	"2004"	"25-29 years"	"25-29"	326122
	"Colorado"	"08"	"2004"	"2004"	"30-34 years"	"30-34"	347503
	"Colorado"	"08"	"2004"	"2004"	"35-39 years"	"35-39"	335046
	"Colorado"	"08"	"2004"	"2004"	"40-44 years"	"40-44"	373107
	"Colorado"	"08"	"2004"	"2004"	"45-49 years"	"45-49"	363311
	"Colorado"	"08"	"2004"	"2004"	"50-54 years"	"50-54"	324142
	"Colorado"	"08"	"2004"	"2004"	"55-59 years"	"55-59"	258091
	"Colorado"	"08"	"2004"	"2004"	"60-64 years "	"60-64"	179869
	"Colorado"	"08"	"2004"	"2004"	"65-69 years"	"65-69"	133022
	"Colorado"	"08"	"2004"	"2004"	"70-74 years"	"70-74"	108124
	"Colorado"	"08"	"2004"	"2004"	"75-79 years"	"75-79"	89018
	"Colorado"	"08"	"2004"	"2004"	"80-84 years"	"80-84"	65952
	"Colorado"	"08"	"2004"	"2004"	"85+ years"	"85+"	53947
"Total"	"Colorado"	"08"	"2004"	"2004"			4575013
	"Colorado"	"08"	"2005"	"2005"	"< 1 year"	"1"	66747
	"Colorado"	"08"	"2005"	"2005"	"1-4 years"	"1-4"	264110
	"Colorado"	"08"	"2005"	"2005"	"5-9 years"	"5-9"	304874
	"Colorado"	"08"	"2005"	"2005"	"10-14 years"	"10-14"	322722
	"Colorado"	"08"	"2005"	"2005"	"15-19 years"	"15-19"	331051
	"Colorado"	"08"	"2005"	"2005"	"20-24 years"	"20-24"	339556
	"Colorado"	"08"	"2005"	"2005"	"25-29 years"	"25-29"	327804
	"Colorado"	"08"	"2005"	"2005"	"30-34 years"	"30-34"	339536
	"Colorado"	"08"	"2005"	"2005"	"35-39 years"	"35-39"	338678
	"Colorado"	"08"	"2005"	"2005"	"40-44 years"	"40-44"	366668
	"Colorado"	"08"	"2005"	"2005"	"45-49 years"	"45-49"	369394
	"Colorado"	"08"	"2005"	"2005"	"50-54 years"	"50-54"	333224
	"Colorado"	"08"	"2005"	"2005"	"55-59 years"	"55-59"	276139
	"Colorado"	"08"	"2005"	"2005"	"60-64 years "	"60-64"	189801
	"Colorado"	"08"	"2005"	"2005"	"65-69 years"	"65-69"	137891
	"Colorado"	"08"	"2005"	"2005"	"70-74 years"	"70-74"	109886
	"Colorado"	"08"	"2005"	"2005"	"75-79 years"	"75-79"	90239
	"Colorado"	"08"	"2005"	"2005"	"80-84 years"	"80-84"	67266
	"Colorado"	"08"	"2005"	"2005"	"85+ years"	"85+"	56302
"Total"	"Colorado"	"08"	"2005"	"2005"			4631888
	"Colorado"	"08"	"2006"	"2006"	"< 1 year"	"1"	67456
	"Colorado"	"08"	"2006"	"2006"	"1-4 years"	"1-4"	267014
	"Colorado"	"08"	"2006"	"2006"	"5-9 years"	"5-9"	313990
	"Colorado"	"08"	"2006"	"2006"	"10-14 years"	"10-14"	322968
	"Colorado"	"08"	"2006"	"2006"	"15-19 years"	"15-19"	334123
	"Colorado"	"08"	"2006"	"2006"	"20-24 years"	"20-24"	343668
	"Colorado"	"08"	"2006"	"2006"	"25-29 years"	"25-29"	338467
	"Colorado"	"08"	"2006"	"2006"	"30-34 years"	"30-34"	334947
	"Colorado"	"08"	"2006"	"2006"	"35-39 years"	"35-39"	348239
	"Colorado"	"08"	"2006"	"2006"	"40-44 years"	"40-44"	358798
	"Colorado"	"08"	"2006"	"2006"	"45-49 years"	"45-49"	374525
	"Colorado"	"08"	"2006"	"2006"	"50-54 years"	"50-54"	342438
	"Colorado"	"08"	"2006"	"2006"	"55-59 years"	"55-59"	295417
	"Colorado"	"08"	"2006"	"2006"	"60-64 years "	"60-64"	199307
	"Colorado"	"08"	"2006"	"2006"	"65-69 years"	"65-69"	145142
	"Colorado"	"08"	"2006"	"2006"	"70-74 years"	"70-74"	112778
	"Colorado"	"08"	"2006"	"2006"	"75-79 years"	"75-79"	92634
	"Colorado"	"08"	"2006"	"2006"	"80-84 years"	"80-84"	69116
	"Colorado"	"08"	"2006"	"2006"	"85+ years"	"85+"	59396
"Total"	"Colorado"	"08"	"2006"	"2006"			4720423
	"Colorado"	"08"	"2007"	"2007"	"< 1 year"	"1"	68795
	"Colorado"	"08"	"2007"	"2007"	"1-4 years"	"1-4"	271047
	"Colorado"	"08"	"2007"	"2007"	"5-9 years"	"5-9"	322967
	"Colorado"	"08"	"2007"	"2007"	"10-14 years"	"10-14"	323327
	"Colorado"	"08"	"2007"	"2007"	"15-19 years"	"15-19"	337309
	"Colorado"	"08"	"2007"	"2007"	"20-24 years"	"20-24"	341920
	"Colorado"	"08"	"2007"	"2007"	"25-29 years"	"25-29"	349048
	"Colorado"	"08"	"2007"	"2007"	"30-34 years"	"30-34"	335759
	"Colorado"	"08"	"2007"	"2007"	"35-39 years"	"35-39"	355948
	"Colorado"	"08"	"2007"	"2007"	"40-44 years"	"40-44"	350466
	"Colorado"	"08"	"2007"	"2007"	"45-49 years"	"45-49"	376497
	"Colorado"	"08"	"2007"	"2007"	"50-54 years"	"50-54"	352394
	"Colorado"	"08"	"2007"	"2007"	"55-59 years"	"55-59"	300917
	"Colorado"	"08"	"2007"	"2007"	"60-64 years "	"60-64"	222515
	"Colorado"	"08"	"2007"	"2007"	"65-69 years"	"65-69"	153405
	"Colorado"	"08"	"2007"	"2007"	"70-74 years"	"70-74"	115291
	"Colorado"	"08"	"2007"	"2007"	"75-79 years"	"75-79"	93946
	"Colorado"	"08"	"2007"	"2007"	"80-84 years"	"80-84"	69962
	"Colorado"	"08"	"2007"	"2007"	"85+ years"	"85+"	62355
"Total"	"Colorado"	"08"	"2007"	"2007"			4803868
	"Colorado"	"08"	"2008"	"2008"	"< 1 year"	"1"	67363
	"Colorado"	"08"	"2008"	"2008"	"1-4 years"	"1-4"	275494
	"Colorado"	"08"	"2008"	"2008"	"5-9 years"	"5-9"	333114
	"Colorado"	"08"	"2008"	"2008"	"10-14 years"	"10-14"	324735
	"Colorado"	"08"	"2008"	"2008"	"15-19 years"	"15-19"	340380
	"Colorado"	"08"	"2008"	"2008"	"20-24 years"	"20-24"	343707
	"Colorado"	"08"	"2008"	"2008"	"25-29 years"	"25-29"	360077
	"Colorado"	"08"	"2008"	"2008"	"30-34 years"	"30-34"	340567
	"Colorado"	"08"	"2008"	"2008"	"35-39 years"	"35-39"	359009
	"Colorado"	"08"	"2008"	"2008"	"40-44 years"	"40-44"	344601
	"Colorado"	"08"	"2008"	"2008"	"45-49 years"	"45-49"	376847
	"Colorado"	"08"	"2008"	"2008"	"50-54 years"	"50-54"	360056
	"Colorado"	"08"	"2008"	"2008"	"55-59 years"	"55-59"	311073
	"Colorado"	"08"	"2008"	"2008"	"60-64 years "	"60-64"	238572
	"Colorado"	"08"	"2008"	"2008"	"65-69 years"	"65-69"	164500
	"Colorado"	"08"	"2008"	"2008"	"70-74 years"	"70-74"	118969
	"Colorado"	"08"	"2008"	"2008"	"75-79 years"	"75-79"	94493
	"Colorado"	"08"	"2008"	"2008"	"80-84 years"	"80-84"	71275
	"Colorado"	"08"	"2008"	"2008"	"85+ years"	"85+"	64898
"Total"	"Colorado"	"08"	"2008"	"2008"			4889730
	"Colorado"	"08"	"2009"	"2009"	"< 1 year"	"1"	66225
	"Colorado"	"08"	"2009"	"2009"	"1-4 years"	"1-4"	277503
	"Colorado"	"08"	"2009"	"2009"	"5-9 years"	"5-9"	342826
	"Colorado"	"08"	"2009"	"2009"	"10-14 years"	"10-14"	329032
	"Colorado"	"08"	"2009"	"2009"	"15-19 years"	"15-19"	341224
	"Colorado"	"08"	"2009"	"2009"	"20-24 years"	"20-24"	345713
	"Colorado"	"08"	"2009"	"2009"	"25-29 years"	"25-29"	367384
	"Colorado"	"08"	"2009"	"2009"	"30-34 years"	"30-34"	347863
	"Colorado"	"08"	"2009"	"2009"	"35-39 years"	"35-39"	357441
	"Colorado"	"08"	"2009"	"2009"	"40-44 years"	"40-44"	342953
	"Colorado"	"08"	"2009"	"2009"	"45-49 years"	"45-49"	376321
	"Colorado"	"08"	"2009"	"2009"	"50-54 years"	"50-54"	366113
	"Colorado"	"08"	"2009"	"2009"	"55-59 years"	"55-59"	321695
	"Colorado"	"08"	"2009"	"2009"	"60-64 years "	"60-64"	255522
	"Colorado"	"08"	"2009"	"2009"	"65-69 years"	"65-69"	174777
	"Colorado"	"08"	"2009"	"2009"	"70-74 years"	"70-74"	124168
	"Colorado"	"08"	"2009"	"2009"	"75-79 years"	"75-79"	95317
	"Colorado"	"08"	"2009"	"2009"	"80-84 years"	"80-84"	72172
	"Colorado"	"08"	"2009"	"2009"	"85+ years"	"85+"	67946
"Total"	"Colorado"	"08"	"2009"	"2009"			4972195
	"Colorado"	"08"	"2010"	"2010"	"< 1 year"	"1"	66935
	"Colorado"	"08"	"2010"	"2010"	"1-4 years"	"1-4"	277186
	"Colorado"	"08"	"2010"	"2010"	"5-9 years"	"5-9"	348955
	"Colorado"	"08"	"2010"	"2010"	"10-14 years"	"10-14"	333934
	"Colorado"	"08"	"2010"	"2010"	"15-19 years"	"15-19"	339765
	"Colorado"	"08"	"2010"	"2010"	"20-24 years"	"20-24"	349967
	"Colorado"	"08"	"2010"	"2010"	"25-29 years"	"25-29"	373858
	"Colorado"	"08"	"2010"	"2010"	"30-34 years"	"30-34"	356452
	"Colorado"	"08"	"2010"	"2010"	"35-39 years"	"35-39"	352441
	"Colorado"	"08"	"2010"	"2010"	"40-44 years"	"40-44"	348010
	"Colorado"	"08"	"2010"	"2010"	"45-49 years"	"45-49"	369746
	"Colorado"	"08"	"2010"	"2010"	"50-54 years"	"50-54"	371959
	"Colorado"	"08"	"2010"	"2010"	"55-59 years"	"55-59"	330720
	"Colorado"	"08"	"2010"	"2010"	"60-64 years "	"60-64"	273193
	"Colorado"	"08"	"2010"	"2010"	"65-69 years"	"65-69"	184622
	"Colorado"	"08"	"2010"	"2010"	"70-74 years"	"70-74"	128718
	"Colorado"	"08"	"2010"	"2010"	"75-79 years"	"75-79"	97140
	"Colorado"	"08"	"2010"	"2010"	"80-84 years"	"80-84"	73592
	"Colorado"	"08"	"2010"	"2010"	"85+ years"	"85+"	70346
"Total"	"Colorado"	"08"	"2010"	"2010"			5047539
	"Colorado"	"08"	"2011"	"2011"	"< 1 year"	"1"	66019
	"Colorado"	"08"	"2011"	"2011"	"1-4 years"	"1-4"	276072
	"Colorado"	"08"	"2011"	"2011"	"5-9 years"	"5-9"	351720
	"Colorado"	"08"	"2011"	"2011"	"10-14 years"	"10-14"	339734
	"Colorado"	"08"	"2011"	"2011"	"15-19 years"	"15-19"	340286
	"Colorado"	"08"	"2011"	"2011"	"20-24 years"	"20-24"	355965
	"Colorado"	"08"	"2011"	"2011"	"25-29 years"	"25-29"	380800
	"Colorado"	"08"	"2011"	"2011"	"30-34 years"	"30-34"	368333
	"Colorado"	"08"	"2011"	"2011"	"35-39 years"	"35-39"	346617
	"Colorado"	"08"	"2011"	"2011"	"40-44 years"	"40-44"	356843
	"Colorado"	"08"	"2011"	"2011"	"45-49 years"	"45-49"	359339
	"Colorado"	"08"	"2011"	"2011"	"50-54 years"	"50-54"	375222
	"Colorado"	"08"	"2011"	"2011"	"55-59 years"	"55-59"	339260
	"Colorado"	"08"	"2011"	"2011"	"60-64 years "	"60-64"	290437
	"Colorado"	"08"	"2011"	"2011"	"65-69 years"	"65-69"	193811
	"Colorado"	"08"	"2011"	"2011"	"70-74 years"	"70-74"	134579
	"Colorado"	"08"	"2011"	"2011"	"75-79 years"	"75-79"	98820
	"Colorado"	"08"	"2011"	"2011"	"80-84 years"	"80-84"	74992
	"Colorado"	"08"	"2011"	"2011"	"85+ years"	"85+"	73051
"Total"	"Colorado"	"08"	"2011"	"2011"			5121900
	"Colorado"	"08"	"2012"	"2012"	"< 1 year"	"1"	64722
	"Colorado"	"08"	"2012"	"2012"	"1-4 years"	"1-4"	273871
	"Colorado"	"08"	"2012"	"2012"	"5-9 years"	"5-9"	355108
	"Colorado"	"08"	"2012"	"2012"	"10-14 years"	"10-14"	343683
	"Colorado"	"08"	"2012"	"2012"	"15-19 years"	"15-19"	338714
	"Colorado"	"08"	"2012"	"2012"	"20-24 years"	"20-24"	362676
	"Colorado"	"08"	"2012"	"2012"	"25-29 years"	"25-29"	386337
	"Colorado"	"08"	"2012"	"2012"	"30-34 years"	"30-34"	379623
	"Colorado"	"08"	"2012"	"2012"	"35-39 years"	"35-39"	347790
	"Colorado"	"08"	"2012"	"2012"	"40-44 years"	"40-44"	362302
	"Colorado"	"08"	"2012"	"2012"	"45-49 years"	"45-49"	350611
	"Colorado"	"08"	"2012"	"2012"	"50-54 years"	"50-54"	375132
	"Colorado"	"08"	"2012"	"2012"	"55-59 years"	"55-59"	347861
	"Colorado"	"08"	"2012"	"2012"	"60-64 years "	"60-64"	293905
	"Colorado"	"08"	"2012"	"2012"	"65-69 years"	"65-69"	215908
	"Colorado"	"08"	"2012"	"2012"	"70-74 years"	"70-74"	142288
	"Colorado"	"08"	"2012"	"2012"	"75-79 years"	"75-79"	101348
	"Colorado"	"08"	"2012"	"2012"	"80-84 years"	"80-84"	76163
	"Colorado"	"08"	"2012"	"2012"	"85+ years"	"85+"	75618
"Total"	"Colorado"	"08"	"2012"	"2012"			5193660
	"Colorado"	"08"	"2013"	"2013"	"< 1 year"	"1"	64692
	"Colorado"	"08"	"2013"	"2013"	"1-4 years"	"1-4"	270526
	"Colorado"	"08"	"2013"	"2013"	"5-9 years"	"5-9"	356817
	"Colorado"	"08"	"2013"	"2013"	"10-14 years"	"10-14"	349162
	"Colorado"	"08"	"2013"	"2013"	"15-19 years"	"15-19"	338982
	"Colorado"	"08"	"2013"	"2013"	"20-24 years"	"20-24"	369982
	"Colorado"	"08"	"2013"	"2013"	"25-29 years"	"25-29"	391816
	"Colorado"	"08"	"2013"	"2013"	"30-34 years"	"30-34"	390516
	"Colorado"	"08"	"2013"	"2013"	"35-39 years"	"35-39"	353922
	"Colorado"	"08"	"2013"	"2013"	"40-44 years"	"40-44"	364183
	"Colorado"	"08"	"2013"	"2013"	"45-49 years"	"45-49"	344938
	"Colorado"	"08"	"2013"	"2013"	"50-54 years"	"50-54"	374485
	"Colorado"	"08"	"2013"	"2013"	"55-59 years"	"55-59"	353961
	"Colorado"	"08"	"2013"	"2013"	"60-64 years "	"60-64"	302951
	"Colorado"	"08"	"2013"	"2013"	"65-69 years"	"65-69"	230241
	"Colorado"	"08"	"2013"	"2013"	"70-74 years"	"70-74"	153256
	"Colorado"	"08"	"2013"	"2013"	"75-79 years"	"75-79"	105210
	"Colorado"	"08"	"2013"	"2013"	"80-84 years"	"80-84"	76983
	"Colorado"	"08"	"2013"	"2013"	"85+ years"	"85+"	78151
"Total"	"Colorado"	"08"	"2013"	"2013"			5270774
	"Colorado"	"08"	"2014"	"2014"	"< 1 year"	"1"	65638
	"Colorado"	"08"	"2014"	"2014"	"1-4 years"	"1-4"	268863
	"Colorado"	"08"	"2014"	"2014"	"5-9 years"	"5-9"	356244
	"Colorado"	"08"	"2014"	"2014"	"10-14 years"	"10-14"	354843
	"Colorado"	"08"	"2014"	"2014"	"15-19 years"	"15-19"	341850
	"Colorado"	"08"	"2014"	"2014"	"20-24 years"	"20-24"	376222
	"Colorado"	"08"	"2014"	"2014"	"25-29 years"	"25-29"	400342
	"Colorado"	"08"	"2014"	"2014"	"30-34 years"	"30-34"	400371
	"Colorado"	"08"	"2014"	"2014"	"35-39 years"	"35-39"	362707
	"Colorado"	"08"	"2014"	"2014"	"40-44 years"	"40-44"	362446
	"Colorado"	"08"	"2014"	"2014"	"45-49 years"	"45-49"	343777
	"Colorado"	"08"	"2014"	"2014"	"50-54 years"	"50-54"	372402
	"Colorado"	"08"	"2014"	"2014"	"55-59 years"	"55-59"	359012
	"Colorado"	"08"	"2014"	"2014"	"60-64 years "	"60-64"	311983
	"Colorado"	"08"	"2014"	"2014"	"65-69 years"	"65-69"	245507
	"Colorado"	"08"	"2014"	"2014"	"70-74 years"	"70-74"	162379
	"Colorado"	"08"	"2014"	"2014"	"75-79 years"	"75-79"	109507
	"Colorado"	"08"	"2014"	"2014"	"80-84 years"	"80-84"	77799
	"Colorado"	"08"	"2014"	"2014"	"85+ years"	"85+"	80745
"Total"	"Colorado"	"08"	"2014"	"2014"			5352637
	"Colorado"	"08"	"2015"	"2015"	"< 1 year"	"1"	66355
	"Colorado"	"08"	"2015"	"2015"	"1-4 years"	"1-4"	269114
	"Colorado"	"08"	"2015"	"2015"	"5-9 years"	"5-9"	356755
	"Colorado"	"08"	"2015"	"2015"	"10-14 years"	"10-14"	358753
	"Colorado"	"08"	"2015"	"2015"	"15-19 years"	"15-19"	347727
	"Colorado"	"08"	"2015"	"2015"	"20-24 years"	"20-24"	380456
	"Colorado"	"08"	"2015"	"2015"	"25-29 years"	"25-29"	415386
	"Colorado"	"08"	"2015"	"2015"	"30-34 years"	"30-34"	412043
	"Colorado"	"08"	"2015"	"2015"	"35-39 years"	"35-39"	375832
	"Colorado"	"08"	"2015"	"2015"	"40-44 years"	"40-44"	360728
	"Colorado"	"08"	"2015"	"2015"	"45-49 years"	"45-49"	350193
	"Colorado"	"08"	"2015"	"2015"	"50-54 years"	"50-54"	366651
	"Colorado"	"08"	"2015"	"2015"	"55-59 years"	"55-59"	364916
	"Colorado"	"08"	"2015"	"2015"	"60-64 years "	"60-64"	321470
	"Colorado"	"08"	"2015"	"2015"	"65-69 years"	"65-69"	261321
	"Colorado"	"08"	"2015"	"2015"	"70-74 years"	"70-74"	171155
	"Colorado"	"08"	"2015"	"2015"	"75-79 years"	"75-79"	113682
	"Colorado"	"08"	"2015"	"2015"	"80-84 years"	"80-84"	78883
	"Colorado"	"08"	"2015"	"2015"	"85+ years"	"85+"	82908
"Total"	"Colorado"	"08"	"2015"	"2015"			5454328
	"Colorado"	"08"	"2016"	"2016"	"< 1 year"	"1"	66518
	"Colorado"	"08"	"2016"	"2016"	"1-4 years"	"1-4"	269147
	"Colorado"	"08"	"2016"	"2016"	"5-9 years"	"5-9"	355451
	"Colorado"	"08"	"2016"	"2016"	"10-14 years"	"10-14"	361164
	"Colorado"	"08"	"2016"	"2016"	"15-19 years"	"15-19"	353484
	"Colorado"	"08"	"2016"	"2016"	"20-24 years"	"20-24"	381121
	"Colorado"	"08"	"2016"	"2016"	"25-29 years"	"25-29"	429534
	"Colorado"	"08"	"2016"	"2016"	"30-34 years"	"30-34"	423889
	"Colorado"	"08"	"2016"	"2016"	"35-39 years"	"35-39"	390425
	"Colorado"	"08"	"2016"	"2016"	"40-44 years"	"40-44"	356694
	"Colorado"	"08"	"2016"	"2016"	"45-49 years"	"45-49"	360209
	"Colorado"	"08"	"2016"	"2016"	"50-54 years"	"50-54"	357266
	"Colorado"	"08"	"2016"	"2016"	"55-59 years"	"55-59"	369484
	"Colorado"	"08"	"2016"	"2016"	"60-64 years "	"60-64"	329691
	"Colorado"	"08"	"2016"	"2016"	"65-69 years"	"65-69"	277221
	"Colorado"	"08"	"2016"	"2016"	"70-74 years"	"70-74"	178999
	"Colorado"	"08"	"2016"	"2016"	"75-79 years"	"75-79"	118428
	"Colorado"	"08"	"2016"	"2016"	"80-84 years"	"80-84"	80130
	"Colorado"	"08"	"2016"	"2016"	"85+ years"	"85+"	84989
"Total"	"Colorado"	"08"	"2016"	"2016"			5543844
	"Colorado"	"08"	"2017"	"2017"	"< 1 year"	"1"	65306
	"Colorado"	"08"	"2017"	"2017"	"1-4 years"	"1-4"	269193
	"Colorado"	"08"	"2017"	"2017"	"5-9 years"	"5-9"	351573
	"Colorado"	"08"	"2017"	"2017"	"10-14 years"	"10-14"	364583
	"Colorado"	"08"	"2017"	"2017"	"15-19 years"	"15-19"	357008
	"Colorado"	"08"	"2017"	"2017"	"20-24 years"	"20-24"	378723
	"Colorado"	"08"	"2017"	"2017"	"25-29 years"	"25-29"	442914
	"Colorado"	"08"	"2017"	"2017"	"30-34 years"	"30-34"	432973
	"Colorado"	"08"	"2017"	"2017"	"35-39 years"	"35-39"	403102
	"Colorado"	"08"	"2017"	"2017"	"40-44 years"	"40-44"	358315
	"Colorado"	"08"	"2017"	"2017"	"45-49 years"	"45-49"	365978
	"Colorado"	"08"	"2017"	"2017"	"50-54 years"	"50-54"	348355
	"Colorado"	"08"	"2017"	"2017"	"55-59 years"	"55-59"	368802
	"Colorado"	"08"	"2017"	"2017"	"60-64 years "	"60-64"	337612
	"Colorado"	"08"	"2017"	"2017"	"65-69 years"	"65-69"	280099
	"Colorado"	"08"	"2017"	"2017"	"70-74 years"	"70-74"	199366
	"Colorado"	"08"	"2017"	"2017"	"75-79 years"	"75-79"	124847
	"Colorado"	"08"	"2017"	"2017"	"80-84 years"	"80-84"	81924
	"Colorado"	"08"	"2017"	"2017"	"85+ years"	"85+"	86748
"Total"	"Colorado"	"08"	"2017"	"2017"			5617421
	"Colorado"	"08"	"2018"	"2018"	"< 1 year"	"1"	63895
	"Colorado"	"08"	"2018"	"2018"	"1-4 years"	"1-4"	270075
	"Colorado"	"08"	"2018"	"2018"	"5-9 years"	"5-9"	349040
	"Colorado"	"08"	"2018"	"2018"	"10-14 years"	"10-14"	365697
	"Colorado"	"08"	"2018"	"2018"	"15-19 years"	"15-19"	361983
	"Colorado"	"08"	"2018"	"2018"	"20-24 years"	"20-24"	378056
	"Colorado"	"08"	"2018"	"2018"	"25-29 years"	"25-29"	455211
	"Colorado"	"08"	"2018"	"2018"	"30-34 years"	"30-34"	442322
	"Colorado"	"08"	"2018"	"2018"	"35-39 years"	"35-39"	416498
	"Colorado"	"08"	"2018"	"2018"	"40-44 years"	"40-44"	365318
	"Colorado"	"08"	"2018"	"2018"	"45-49 years"	"45-49"	367381
	"Colorado"	"08"	"2018"	"2018"	"50-54 years"	"50-54"	342323
	"Colorado"	"08"	"2018"	"2018"	"55-59 years"	"55-59"	367494
	"Colorado"	"08"	"2018"	"2018"	"60-64 years "	"60-64"	343576
	"Colorado"	"08"	"2018"	"2018"	"65-69 years"	"65-69"	288064
	"Colorado"	"08"	"2018"	"2018"	"70-74 years"	"70-74"	212570
	"Colorado"	"08"	"2018"	"2018"	"75-79 years"	"75-79"	134177
	"Colorado"	"08"	"2018"	"2018"	"80-84 years"	"80-84"	85075
	"Colorado"	"08"	"2018"	"2018"	"85+ years"	"85+"	88400
"Total"	"Colorado"	"08"	"2018"	"2018"			5697155
	"Colorado"	"08"	"2019"	"2019"	"< 1 year"	"1"	63035
	"Colorado"	"08"	"2019"	"2019"	"1-4 years"	"1-4"	266190
	"Colorado"	"08"	"2019"	"2019"	"5-9 years"	"5-9"	346980
	"Colorado"	"08"	"2019"	"2019"	"10-14 years"	"10-14"	363379
	"Colorado"	"08"	"2019"	"2019"	"15-19 years"	"15-19"	365699
	"Colorado"	"08"	"2019"	"2019"	"20-24 years"	"20-24"	378813
	"Colorado"	"08"	"2019"	"2019"	"25-29 years"	"25-29"	461470
	"Colorado"	"08"	"2019"	"2019"	"30-34 years"	"30-34"	452026
	"Colorado"	"08"	"2019"	"2019"	"35-39 years"	"35-39"	426156
	"Colorado"	"08"	"2019"	"2019"	"40-44 years"	"40-44"	372814
	"Colorado"	"08"	"2019"	"2019"	"45-49 years"	"45-49"	364951
	"Colorado"	"08"	"2019"	"2019"	"50-54 years"	"50-54"	340733
	"Colorado"	"08"	"2019"	"2019"	"55-59 years"	"55-59"	364757
	"Colorado"	"08"	"2019"	"2019"	"60-64 years "	"60-64"	347958
	"Colorado"	"08"	"2019"	"2019"	"65-69 years"	"65-69"	296415
	"Colorado"	"08"	"2019"	"2019"	"70-74 years"	"70-74"	226127
	"Colorado"	"08"	"2019"	"2019"	"75-79 years"	"75-79"	142262
	"Colorado"	"08"	"2019"	"2019"	"80-84 years"	"80-84"	88719
	"Colorado"	"08"	"2019"	"2019"	"85+ years"	"85+"	90002
"Total"	"Colorado"	"08"	"2019"	"2019"			5758486
	"Colorado"	"08"	"2020"	"2020"	"< 1 year"	"1"	63076
	"Colorado"	"08"	"2020"	"2020"	"1-4 years"	"1-4"	261507
	"Colorado"	"08"	"2020"	"2020"	"5-9 years"	"5-9"	344851
	"Colorado"	"08"	"2020"	"2020"	"10-14 years"	"10-14"	361425
	"Colorado"	"08"	"2020"	"2020"	"15-19 years"	"15-19"	366386
	"Colorado"	"08"	"2020"	"2020"	"20-24 years"	"20-24"	380269
	"Colorado"	"08"	"2020"	"2020"	"25-29 years"	"25-29"	461679
	"Colorado"	"08"	"2020"	"2020"	"30-34 years"	"30-34"	462331
	"Colorado"	"08"	"2020"	"2020"	"35-39 years"	"35-39"	433137
	"Colorado"	"08"	"2020"	"2020"	"40-44 years"	"40-44"	382981
	"Colorado"	"08"	"2020"	"2020"	"45-49 years"	"45-49"	360321
	"Colorado"	"08"	"2020"	"2020"	"50-54 years"	"50-54"	344624
	"Colorado"	"08"	"2020"	"2020"	"55-59 years"	"55-59"	357179
	"Colorado"	"08"	"2020"	"2020"	"60-64 years "	"60-64"	351566
	"Colorado"	"08"	"2020"	"2020"	"65-69 years"	"65-69"	303686
	"Colorado"	"08"	"2020"	"2020"	"70-74 years"	"70-74"	239677
